137,73,95
153,124,121
168,78,109
145,99,100
133,92,89
147,102,97
138,83,100
126,84,100
119,82,80
109,74,87
123,85,103
121,78,96
121,81,81
124,78,81
137,88,93
135,93,93
122,90,88
123,84,89
121,91,79
120,81,81
125,67,81
,,
124,97,98
131,94,86
125,93,85
128,84,82
129,81,88
125,85,89
125,84,82
128,90,97
121,79,89
127,88,78
111,81,78
118,79,79
120,76,83
130,98,79
135,97,71
123,96,83
125,85,77
123,87,85
130,96,90
124,94,93
116,82,86
124,86,79
119,92,86
120,90,85
110,79,82
132,91,75
123,89,80
119,89,92
119,88,88
116,78,83
128,98,97
118,86,88
135,96,79
110,86,87
130,90,90
124,95,70
115,96,79
130,99,91
126,84,89
116,86,76
123,88,83
126,96,76
110,83,83
119,85,81
114,71,91
117,80,83
116,84,91
125,92,78
132,92,67
130,80,90
138,94,71
123,94,85
129,86,86
130,89,77
137,96,80
113,86,87
126,86,74
117,82,69
120,84,78
122,85,83
133,88,78
127,88,76
118,84,82
122,88,77
127,94,77
121,83,87
118,83,75
115,88,78
113,76,81
136,90,69
108,81,80
106,79,76
111,77,93
118,90,84
128,101,81
142,105,80
108,88,86
128,88,82
113,76,80
,,
122,88,83
131,98,83
127,88,73
104,79,78
127,92,92
127,91,82
125,87,86
118,87,75
127,89,66
120,85,88
116,81,85
124,89,73
111,83,92
113,84,75
124,90,91
118,83,88
107,78,87
114,92,90
121,89,77
113,86,89
122,85,82
123,86,78
122,89,78
117,85,80
122,83,72
122,81,86
124,89,77
112,79,76
120,90,77
128,92,77
113,81,71
129,88,73
122,84,79
132,90,85
121,84,70
131,86,77
111,83,78
119,84,73
114,85,86
107,76,81
121,86,70
128,86,83
132,92,88
124,81,86
120,81,84
125,87,78
130,90,82
122,86,88
123,85,78
125,92,74
128,90,77
122,78,81
121,85,83
120,83,85
115,80,84
122,84,72
123,88,86
116,77,86
122,81,77
117,84,75
116,82,93
124,86,84
115,84,89
125,87,72
121,84,69
108,80,89
119,84,81
122,85,83
133,90,74
119,86,67
111,80,89
115,79,85
122,89,77
119,86,78
,,
128,90,77
128,89,83
118,82,77
121,84,72
123,84,82
128,89,62
120,85,77
122,86,80
124,91,74
126,84,77
127,91,87
118,82,73
132,93,77
119,95,81
122,91,84
119,85,77
117,85,86
122,92,70
107,79,80
,,
123,85,76
130,88,73
110,77,91
128,87,66
126,89,77
123,94,73
110,81,79
130,87,76
116,88,95
123,85,70
116,84,79
136,100,88
139,93,80
132,88,77
133,92,79
135,96,70
115,81,84
,,
132,98,81
133,91,86
128,93,91
,,
,,
128,91,93
133,100,82
118,87,87
132,91,91
137,97,83
125,90,86
122,87,76
128,92,77
123,84,78
,,
118,77,90
,,
126,88,87
135,87,80
127,88,82
128,89,76
124,88,81
127,86,65
127,88,71
123,88,79
129,85,80
,,
113,77,74
127,94,71
123,88,79
122,97,69
128,98,79
136,93,77
128,90,74
131,95,72
127,93,74
130,92,73
121,92,75
126,99,97
121,94,89
113,86,91
117,84,89
105,77,72
128,95,75
118,90,74
128,87,80
123,91,79
119,83,71
124,88,83
133,95,75
124,92,80
134,102,73
127,94,74
136,101,93
130,94,89
126,92,85
113,85,74
134,89,81
127,91,79
111,86,73
140,100,77
129,94,73
123,89,73
122,88,74
129,90,68
122,88,74
139,107,76
144,105,77
139,99,72
134,96,72
134,96,71
131,94,71
,,
114,70,71
124,76,60
126,95,67
137,99,78
141,99,71
135,106,76
143,100,75
127,98,83
122,93,78
131,91,68
139,103,74
129,101,74
126,97,75
129,96,77
128,90,74
127,91,75
115,86,61
133,94,92
131,95,96
136,97,65
134,96,66
132,91,75
130,94,78
124,88,73
118,86,76
139,102,80
137,103,87
126,98,81
128,91,71
120,94,79
133,96,67
130,107,96
129,99,92
131,94,75
127,96,74
125,92,85
121,87,78
124,96,89
128,91,77
118,88,75
120,91,75
121,91,81
132,96,79
129,94,78
124,93,81
133,89,83
127,91,82
107,76,76
125,95,69
138,113,85
123,93,74
128,91,77
123,91,77
132,94,79
126,91,71
133,96,77
136,97,83
127,96,80
132,93,79
127,92,79
126,91,85
121,90,70
121,94,76
129,91,76
,,
130,98,72
130,96,71
117,86,74
123,88,79
119,84,75
125,93,66
111,86,70
116,86,70
123,92,70
119,91,70
129,91,68
123,90,81
121,87,80
116,90,81
115,85,79
119,87,69
132,94,66
127,92,63
125,89,76
118,87,75
116,88,76
115,85,76
,,
124,93,70
144,100,73
134,96,71
110,87,76
126,93,73
120,93,77
118,85,71
128,97,68
124,89,67
124,88,69
114,83,70
122,88,70
111,79,73
123,80,75
122,91,67
120,86,67
116,89,72
111,92,76
118,86,79
117,90,77
113,87,79
119,90,75
,,
120,96,81
129,96,77
125,88,77
116,83,71
123,92,71
118,87,86
131,98,75
113,88,84
118,84,82
129,97,81
,,
104,74,74
